datetime,open,high,low,close,tick_volume,volume,spread
2020-08-10 00:00:00,105.841,106.044,105.72,105.943,11882,0,3
2020-08-10 12:00:00,105.943,106.201,105.705,105.958,19124,0,3
2020-08-11 00:00:00,105.955,106.239,105.905,106.097,16605,0,1
2020-08-11 12:00:00,106.097,106.68,105.928,106.486,31371,0,3
2020-08-12 00:00:00,106.497,106.826,106.438,106.802,23660,0,0
2020-08-12 12:00:00,106.802,107.012,106.684,106.907,26204,0,3
2020-08-13 00:00:00,106.898,106.914,106.561,106.743,18193,0,3
2020-08-13 12:00:00,106.742,107.047,106.729,106.922,24770,0,3
2020-08-14 00:00:00,106.924,107.036,106.664,106.713,14994,0,3
2020-08-14 12:00:00,106.713,106.755,106.434,106.57,19047,0,1
2020-08-17 00:00:00,106.512,106.653,106.4,106.479,14678,0,2
2020-08-17 12:00:00,106.479,106.487,105.941,105.999,23518,0,1
2020-08-18 00:00:00,105.976,106.053,105.4,105.558,21232,0,3
2020-08-18 12:00:00,105.558,105.638,105.281,105.401,24311,0,3
2020-08-19 00:00:00,105.423,105.601,105.099,105.384,21290,0,2
2020-08-19 12:00:00,105.384,106.15,105.17,106.098,31901,0,3
2020-08-20 00:00:00,106.109,106.213,105.911,105.94,24773,0,2
2020-08-20 12:00:00,105.939,106.045,105.741,105.797,27693,0,3
2020-08-21 00:00:00,105.776,105.808,105.441,105.519,19672,0,2
2020-08-21 12:00:00,105.519,106.069,105.49,105.814,27167,0,3
2020-08-24 00:00:00,105.764,105.939,105.686,105.826,15653,0,3
2020-08-24 12:00:00,105.827,105.995,105.695,105.971,16998,0,3
2020-08-25 00:00:00,105.971,106.372,105.87,106.331,16958,0,3
2020-08-25 12:00:00,106.331,106.574,106.244,106.382,27216,0,3
2020-08-26 00:00:00,106.372,106.558,106.157,106.22,19177,0,3
2020-08-26 12:00:00,106.22,106.463,105.954,105.982,20752,0,2
2020-08-27 00:00:00,105.989,106.207,105.8,106.048,17586,0,3
2020-08-27 12:00:00,106.047,106.697,105.601,106.559,41130,0,2
2020-08-28 00:00:00,106.563,106.944,105.844,105.859,39953,0,2
2020-08-28 12:00:00,105.859,105.877,105.2,105.34,35443,0,2
2020-08-31 00:00:00,105.429,105.923,105.289,105.883,30025,0,3
2020-08-31 12:00:00,105.885,106.094,105.779,105.898,28837,0,1
2020-09-01 00:00:00,105.9,106.03,105.59,105.736,27345,0,3
2020-09-01 12:00:00,105.736,106.151,105.7,105.95,31685,0,3
2020-09-02 00:00:00,105.956,106.226,105.848,106.191,23046,0,2
2020-09-02 12:00:00,106.191,106.298,106.086,106.18,26065,0,3
2020-09-03 00:00:00,106.135,106.34,106.105,106.253,22850,0,1
2020-09-03 12:00:00,106.253,106.55,106.0,106.183,26645,0,3
2020-09-04 00:00:00,106.184,106.245,106.055,106.205,19587,0,3
2020-09-04 12:00:00,106.205,106.503,106.15,106.234,23995,0,3
2020-09-07 00:00:00,106.251,106.384,106.13,106.199,16735,0,3
2020-09-07 12:00:00,106.196,106.322,106.165,106.268,10276,0,3
2020-09-08 00:00:00,106.282,106.312,106.199,106.29,14619,0,1
2020-09-08 12:00:00,106.29,106.381,105.858,106.023,26658,0,2
2020-09-09 00:00:00,106.014,106.06,105.788,105.987,19630,0,3
2020-09-09 12:00:00,105.987,106.271,105.97,106.173,20967,0,2
